Restaurant Name	Inspection Type	Inspection Date	Inspection Score	Street Number	Street Name	Street Direction	Street Type	Street Unit	Street Address	Zip Code	Violation Description - 1	Violation Points - 1	Violation Detail - 1	Violation Memo - 1	Violation Description - 2	Violation Points - 2	Violation Detail - 2	Violation Memo - 2	Violation Description - 3	Violation Points - 3	Violation Detail - 3	Violation Memo - 3	Violation Description - 4	Violation Points - 4	Violation Detail - 4	Violation Memo - 4	Violation Description - 5	Violation Points - 5	Violation Detail - 5	Violation Memo - 5	Violation Description - 6	Violation Points - 6	Violation Detail - 6	Violation Memo - 6	Violation Description - 7	Violation Points - 7	Violation Detail - 7	Violation Memo - 7	Violation Description - 8	Violation Points - 8	Violation Detail - 8	Violation Memo - 8	Violation Description - 9	Violation Points - 9	Violation Detail - 9	Violation Memo - 9	Violation Description - 10	Violation Points - 10	Violation Detail - 10	Violation Memo - 10	Violation Description - 11	Violation Points - 11	Violation Detail - 11	Violation Memo - 11	Violation Description - 12	Violation Points - 12	Violation Detail - 12	Violation Memo - 12	Violation Description - 13	Violation Points - 13	Violation Detail - 13	Violation Memo - 13	Violation Description - 14	Violation Points - 14	Violation Detail - 14	Violation Memo - 14	Violation Description - 15	Violation Points - 15	Violation Detail - 15	Violation Memo - 15	Violation Description - 16	Violation Points - 16	Violation Detail - 16	Violation Memo - 16	Violation Description - 17	Violation Points - 17	Violation Detail - 17	Violation Memo - 17	Violation Description - 18	Violation Points - 18	Violation Detail - 18	Violation Memo - 18	Violation Description - 19	Violation Points - 19	Violation Detail - 19	Violation Memo - 19	Violation Description - 20	Violation Points - 20	Violation Detail - 20	Violation  Memo - 20	Violation Description - 21	Violation Points - 21	Violation Detail - 21	Violation Memo - 21	Violation Description - 22	Violation Points - 22	Violation Detail - 22	Violation Memo - 22	Violation Description - 23	Violation Points - 23	Violation Detail - 23	Violation Memo - 23	Violation Description - 24	Violation Points - 24	Violation Detail - 24	Violation Memo - 24	Violation Description - 25	Violation Points - 25	Violation Detail - 25	Violation Memo - 25	Inspection Month	Inspection Year	Lat Long Location
EGGSELLENT CAFE	Routine	2024-01-04	90	1150	KIEST	W	BLVD	#325	1150 W KIEST BLVD #325	75224	*19 Water &  Plumbing in good repair- per code	3.0	228.149  Water, Plumbing, and Waste.          Plumbing, operation and maintenance.          (e) System maintained in good repair.  A plumbing system shall be:          (1) repaired according to the Plumbing Code;  and	hot knob not working with water fixture	*10 Clean Sight and Touch	3.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          Equipment, food-contact surfaces, non-food contact surfaces and utensils.          (1) Equipment food-contact surfaces and utensils shall be clean to sight and touch.	Ice machine has mold inside, should be cleaned to sight	*34 Outer openings:closed,tight-fitting windows	1.0	228.174  Physical Facilities.          Functionality.          (e) Outer openings, protected.          (1) Except as specified in paragraphs (2) - (5) of this subsection, outer openings of a food establishment shall be protected against the entry of insects and rodents by:          (B) closed, tight-fitting windows; and	ceiling tiles missing in kitchen, shall be replaced	*32 Damaged Equipment	2.0	228.104  Equipment, Utensils, and Linens.          Cleanability.          (a) Food-contact surfaces.  Multi use food-contact surfaces shall be:          (2) free of breaks, open seams, cracks, chips, inclusions, pits, and similar imperfections;	cutting board needs to be re surfaced for sanitary	*43 Ventilation hood-prevent grease dripping	1.0	228.106  Equipment, Utensils, and Linens.          Functionality of equipment.          (a) Ventilation hood systems, drip prevention.  Exhaust ventilation hood systems in food preparation and warewashing areas including components such as hoods, fans, guards, and ducting shall be designed to prevent grease or condensation from draining or dripping onto food, equipment, utensils, linens, and single-service and single-use articles.	vent hood needs to be serviced, some blades missing observed																																																																																	Jan 2024	FY2024	1150 W KIEST BLVD #325
ANGRY DOG	Routine	2024-01-11	94	2726	COMMERCE		ST		2726 COMMERCE ST	75226	*28 Date marking > 24 hrs,on site,temp 41F	2.0	228.75  Food.          Time and temperature control.          (g) Ready-to-eat, TCS food, date marking.  (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:        (A) the day the original container is opened in the food establishment shall be counted as day 1;  and		*34 Outer door: solid,selfclosing,tightfitting	1.0	228.174  Physical Facilities.          Functionality.          (e) Outer openings, protected.          (1) Except as specified in paragraphs (2) - (5) of this subsection, outer openings of a food establishment shall be protected against the entry of insects and rodents by:          (C) solid self-closing, tight-fitting doors.		*38 Thawing. under running water criteria  (70 degrees Fahrenheit) or below;	1.0	228.75  Food.          Time and temperature control.          (c) Thawing.   Except as specified in paragraph (4) of this subsection, TCS food shall be thawed:        (2) completely submerged under running water:          (A) at a water temperature of 21 degrees Celsius (70 degrees Fahrenheit) or below;		*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	INSIDE PANEL OF DISHWASHER NEEDS TO BE CLEANED	*43 Clean vent syst:Intake/exhaust air ducts	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (d) Cleaning ventilation systems, nuisance and discharge prohibition.          (1) Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust, dirt, and other materials.																																																																																		Jan 2024	FY2024	2726 COMMERCE ST
HONG KONG RESTAURANT	Routine	2024-01-27	92	9055	GARLAND		RD		9055 GARLAND RD	75218	*10 Clean Sight and Touch	3.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          Equipment, food-contact surfaces, non-food contact surfaces and utensils.          (1) Equipment food-contact surfaces and utensils shall be clean to sight and touch.	black accumulation observed inside ice machine	*09 Food protected cross contamination separating types of raw animal food storage, preparation, hol	3.0	228.66  Food.          Preventing food and ingredient contamination.          (a) Packaged and unpackaged food - separation, packaging, and segregation.          (1) Food shall be protected from cross contamination by:          (B) except when combined as ingredients, separating types of raw animal foods from each other such as beef, fish, lamb, pork, and poultry during storage, preparation, holding, and display by:          (i) using separate equipment for each type; or	Prepared chicken bites stored in walk-in under condenser not protected from contamination	*28 Date marking > 24 hrs,on site,temp 41F	2.0	228.75  Food.          Time and temperature control.          (g) Ready-to-eat, TCS food, date marking.  (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:        (A) the day the original container is opened in the food establishment shall be counted as day 1;  and	provide date of preparation + date of expiration (1/31) observed on prepared foods (R)																																																																																									Jan 2024	FY2024	9055 GARLAND RD
TRE STELLE COFFEE CO.	Routine	2024-01-21	94	17390	PRESTON		RD	#210	17390 PRESTON RD #210	75252	*29 Sanitizing solutions, testing devices	2.0	228.108  Equipment, Utensils, and Linens.          Utensils, temperature measuring devices, and testing devices.          (e) Sanitizing solutions, testing device. A test kit or other device that accurately measures the concentration in mg/L of sanitizing solutions shall be provided.	provide test strips for blue sanitizer	*28 Date marking commercially prepared RTE/ TCS food	2.0	228.75  Food.          Time and temperature control.               (g) Ready-to-eat, TCS food, date marking.         (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:          (A) the day the original container is opened in the food establishment shall be counted as day 1;  and	clarify fates on packaged sandwiches from deli prep date and expiration date needs to be provided	*24 Food Label- manufacture/packer/distrubtor name	2.0	228.79  Food.          Labeling.          (a) Food labels.         (2) Label information shall include:         (D) the name and place of business of the manufacturer, packer, or distributor; and	provide name and location of where breakfast tacos are from on label																																																																																									Jan 2024	FY2024	"17390 PRESTON RD #210
(39.495761995, -79.818665031)"
GROCERY/PRODUCE	Routine	2024-01-11	94	4122	LBJ		FRWY		4122 LBJ FRWY	75244	*42 Nonfood-contact surfaces material	1.0	228.101  Equipment, Utensils, and Linens.          Multiuse materials.          (i) Nonfood-contact surfaces.  Nonfood-contact surfaces of equipment that are exposed to splash, spillage, or other food soiling or that require frequent cleaning shall be constructed of a corrosion-resistant, nonabsorbent, and smooth material.	Clean RIC (Reach in cooler) (eggs), (minute maid juice)  clean shelves (sugar,flour)  clean the bottom of RIF (TV Dinners, frozen meals)	*29 Food thermometers provided and accessible	2.0	228.108  Equipment, Utensils, and Linens.          Utensils, temperature measuring devices, and testing devices.          (b) Food temperature measuring devices.   Food temperature measuring devices shall be provided readily accessible for use in ensuring attainment and maintenance of food temperatures as specified under Subchapter C of this chapter (relating to Food).	provide thermometer for RIC (Cut fruit/tofu)	*07 Food safe, good condition, unadulterated, and honestly presented	3.0	228.61  Food.         Condition safe, unadulterated, and honestly presented.       Food shall be safe, unadulterated, and, as specified in õ228.78(b) of this title, honestly presented.	open/damaged product, dented canned goods																																																																																									Jan 2024	FY2024	4122 LBJ FRWY
EMILIO'S MEXICAN KITCHEN	Routine	2024-02-27	94	6243	RETAIL		RD		6243 RETAIL RD	75201	*37 Storing the food at least 15 cm (6 inches) above the floor	1.0	228.69  Food.          Preventing contamination from the premises.          (a) Food Storage.          (1) Except as specified in paragraphs (2) and (3) of this subsection, food shall be protected from contamination by storing the food:                     (C)    at least 15 centimeters (6 inches) above the floor.	Cannot store food items on the floor.	*36 Cloths in-use for wiping between uses stored	1.0	228.68  Food.          Preventing Contamination From Equipment, Utensils, and Linens.         (d) Wiping cloths, use limitation.          (2) cloths in-use for wiping counters and other equipment surfaces shall be:         (A) held between uses in a chemical sanitizer solution at a concentration specified in õ228.111(n) of this title; and	Cannot leave wet wiping cloths out, must be stored in sanitizer bucket at all times.	*21 Being a certified food protection manager who has shown proficiency of required information thro	2.0	228.32  Management and Personnel.          Knowledge.      Based on the risks inherent to the food operation, during inspections and upon request the person in charge shall demonstrate to the regulatory authority knowledge of foodborne disease prevention, application of the Hazard Analysis Critical Control Point principles, and the requirements of this rule. The person in charge shall demonstrate this knowledge by:             (2) being a certified food protection manager who has shown proficiency of required information through passing a test that is part of an Accredited Program;  or	No food manager certification provided onsite for employee working.	*22 Accredited food handler certificate - 60 days	2.0	õ228.33. Certified Food Protection Manager and Food Handler Requirements  (d) Except in a temporary food establishment and the certified food manager, all food employees shall successfully complete an accredited food handler training course, within 60 days of employment.	No food handlers for any employee working provided onsite.																																																																																					Feb 2024	FY2024	6243 RETAIL RD
CHILOSO MEXICAN BISTRO	Routine	2024-01-20	95	1152	BUCKNER	N	BLVD	#128	1152 N BUCKNER BLVD #128	75218	*02 Cold Hold (41øF/45øF or below)	3.0	228.75  Food.          Time and temperature control.          (f) Time/temperature controlled for safety food, hot and cold holding.     (1) Except during preparation, cooking, or cooling, or when time is used as the public health control as specified in subsection (i) of this section, and except as specified in paragraphs (2) and (3) of this subsection, TCS food shall be maintained:                  (B) at 5 degrees Celsius (41 degrees Fahrenheit) or less;	Open top cooler - guacamole red 42 F, keep door closed to maintain proper temperatures	*10 Clean Sight and Touch	2.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          Equipment, food-contact surfaces, non-food contact surfaces and utensils.          (1) Equipment food-contact surfaces and utensils shall be clean to sight and touch.	Observed food debris inside RICs and gaskets																																																																																													Jan 2024	FY2024	1152 N BUCKNER BLVD #128
CHILI'S GRILL & BAR	Routine	2024-01-26	84	246	CASA LINDA PLAZA				246 CASA LINDA PLAZA	75218	*10  Other sanitizer use -  manufacturer label direction	3.0	228.111  Equipment, Utensils, and Linens.          Equipment, maintenance and operation.          (n) Manual and mechanical warewashing equipment, chemical sanitization temperature, pH, concentration, and hardness. A chemical sanitizer used in a sanitizing solution for a manual or mechanical operation at contact times specified in õ228.118(3) of this title shall meet the criteria in õ228.206(a) of this title, shall be used in accordance with the EPA-approved manufacturer's label use instructions,  and shall be used as follows:          (E) if a chemical sanitizer other than chlorine, iodine, or a quaternary ammonium compound is used, it shall be applied in accordance with the EPA-registered label use instructions; and	NO SANITIZER AT DISHWASHER CL	*20 Grease Trap Tickets	3.0	Ch.19-126.5(c))     A producer shall sign the manifest from the transporter when a load is picked up by the transporter and shall keep a copy of all trip tickets at the producer#s business office for three years.  The director may inspect these records at any reasonable time.		*21 RFSM - Not On Site	2.0	Sec. 17-2.2(c)(1)(D)      (c) Registered food service managers. (1) Registered food service managers required.    (D) A food establishment shall have one registered food service manager employed and present in the establishment during all hours of operation, except that a registered food service manager serving multiple food establishments as authorized by Section 17-2.2(c)(1)(C) must only be present in the building in which the food establishment is located during all hours of operation.		*24 Food Labeling- with common name of the food	2.0	228.79  Food.          Labeling.          (a) Food labels.          (2) Label information shall include:          (A) the common name of the food, or absent a common name, an adequately descriptive identity statement;		*31 No soap at handsink	2.0	228.175  Physical Facilities.          Handwashing Sinks.          (b) Handwashing cleanser, availability.  Each handwashing lavatory or group of two adjacent lavatories shall be provided with a supply of hand cleaning liquid, powder, or bar soap.		*34 Controlling pests. Eliminating harborage conditions	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (k) Controlling pests.  The presence of insects, rodents, and other pests shall be controlled to eliminate their presence on the premises by:              (4) eliminating harborage conditions.	OBSERVED GNATS IN THE KITCHEN	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	OBSERVED GREASE BUILDUP AT THE SIDE WALL FRY STATION	*43 Light bulbs, light shields provided	1.0	228.174  Physical Facilities.          Functionality.          (a) Light bulbs, protective shielding.          (1) Except as specified in  paragraph (2) of this subsection, light bulbs shall be shielded, coated, or otherwise shatter-resistant in areas where there is exposed food; clean equipment, utensils, and linens; or unwrapped single-service and single-use articles.		*45Floor, wall, ceiling - Exposed material	1.0	(c)     Floors, walls, and ceilings.                (1)     A food establishment containing a food handling area, food processing area, food preparation area, food storage area, equipment or utensil washing area, walk-in refrigerating unit, dressing room, locker room, toilet room, or vestibule shall:  (C)     prevent exposed construction in these areas, including but not limited to the exposure of pipes, conduits, ductwork, studs, joists, and rafters;																																																																		Jan 2024	FY2024	246 CASA LINDA PLAZA
CHINESE KITCHEN	Routine	2024-01-04	91	3939	POLK	S	ST	#203	3939 S POLK ST #203	75224	*36 Cloths in-use for wiping between uses stored	1.0	228.68  Food.          Preventing Contamination From Equipment, Utensils, and Linens.         (d) Wiping cloths, use limitation.          (2) cloths in-use for wiping counters and other equipment surfaces shall be:         (A) held between uses in a chemical sanitizer solution at a concentration specified in õ228.111(n) of this title; and	wiping cloths between use need to be in the bucket	*09  Food protected cross contamination arrange each type food in equipment so cross is prevented	3.0	228.66  Food.          Preventing food and ingredient contamination.          (a) Packaged and unpackaged food - separation, packaging, and segregation.          (1) Food shall be protected from cross contamination by:          (B) except when combined as ingredients, separating types of raw animal foods from each other such as beef, fish, lamb, pork, and poultry during storage, preparation, holding, and display by:          (ii) arranging each type of food in equipment so that cross contamination of one type with another is prevented; and	chicken on beef bag, needs to be separated from contamination	*29 Sanitizing solutions, testing devices	2.0	228.108  Equipment, Utensils, and Linens.          Utensils, temperature measuring devices, and testing devices.          (e) Sanitizing solutions, testing device. A test kit or other device that accurately measures the concentration in mg/L of sanitizing solutions shall be provided.	shall have chemical strips at location	*18 Toxic items labeling for original container	3.0	228.201  Poisonous or Toxic Materials.            Original containers, identifying information, prominence.  Containers of poisonous or toxic materials and personal care items shall bear a legible manufacturer's label.	toxic spray bottle needs a label name of content																																																																																					Jan 2024	FY2024	3939 S POLK ST #203
MUTT'S CANINE CANTINA	Routine	2024-02-22	91	2889	CITYPLACE WEST		BLVD		2889 CITYPLACE WEST BLVD	75204	*10 Clean Sight and Touch	3.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          Equipment, food-contact surfaces, non-food contact surfaces and utensils.          (1) Equipment food-contact surfaces and utensils shall be clean to sight and touch.	Clean and sanitize ice dispenser at soda fountain	*19 One Inch Air Gap	3.0	228.146  Water, Plumbing, and Waste.          Plumbing design, construction, and installation.          (c) Backflow prevention, air gap.  An air gap between the water supply inlet and the flood level rim of the plumbing fixture, equipment, or nonfood equipment shall be at least twice the diameter of the water supply inlet and may not be less than 25 mm  (1 inch).	Provide at least one inch air gap at 3-compartment sink drains	*39 Store all equipment & utensil covered or inverted	1.0	228.124  Equipment, Utensils, and Linens.          Storage.          (a) Equipment, utensils, linens, and single-service and single-use articles.         (2) Clean equipment and utensils shall be stored as specified under paragraph (1) of this subsection and shall be stored:          (B) covered or inverted.	Store utensils/ice buckets upside down	*45  Premises shall be maintained in good repair	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (a) Repairing.  The physical facilities shall be maintained in good repair.	Repair flooring	*46 Covered waste receptacle for women's restroom	1.0	228.152  Water, Plumbing, and Waste.          Refuse, Recyclables, and Returnables, Facilities on the Premises.          (h) Toilet room receptacle, covered. A toilet room used by females shall be provided with a covered receptacle for sanitary napkins.	Provide a lid to trash in restrooms																																																																																	Feb 2024	FY2024	"2889 CITYPLACE WEST BLVD
(32.80560298, -96.795141975)"
FREENEY'S BBQ	Routine	2024-01-17	92	7822	GREAT TRINITY FOREST WAY				7822 GREAT TRINITY FOREST WAY	75217	*10 Sanitization after Cleaning	3.0	228.117  Equipment, Utensils, and Linens.         Sanitization Frequency, Before Use After Cleaning.  Utensils and food-contact surfaces of equipment shall be sanitized before use after cleaning.	sanitizer bucket not set up	*28 Date marking commercially prepared RTE/ TCS food	2.0	228.75  Food.          Time and temperature control.               (g) Ready-to-eat, TCS food, date marking.         (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:          (A) the day the original container is opened in the food establishment shall be counted as day 1;  and	date mark all prepared foods	*47 Other Violations	1.0		display inspection report or place sign	*29 Sanitizing solutions, testing devices	2.0	228.108  Equipment, Utensils, and Linens.          Utensils, temperature measuring devices, and testing devices.          (e) Sanitizing solutions, testing device. A test kit or other device that accurately measures the concentration in mg/L of sanitizing solutions shall be provided.	no test strips provided for chlorine																																																																																					Jan 2024	FY2024	"7822 GREAT TRINITY FOREST WAY
(32.711757013, -96.687638032)"
RESTAURANT Y TACOS EL CHINO	Routine	2024-01-03	95	9748	BROCKBANK		DR	#100	9748 BROCKBANK DR #100	75220	*28 Date marking > 24 hrs,on site,temp 41F	2.0	228.75  Food.          Time and temperature control.          (g) Ready-to-eat, TCS food, date marking.  (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:        (A) the day the original container is opened in the food establishment shall be counted as day 1;  and	Date mark items in the reach in cooler after 24 hours of being in there ( rice, beans) (pies)	*37 Food protected from cross contamination by storing the food in packages, covered containers, or	1.0	228.66  Food.          Preventing food and ingredient contamination.          (a) Packaged and unpackaged food - separation, packaging, and segregation.          (1) Food shall be protected from cross contamination by:          (D) except as specified in õ228.75(e)(2)(B) of this title and paragraph (2) of this subsection, storing the food in packages, covered containers, or wrappings;	provide lid for containers to prevent contamination (tortilla bag on top of the chorizo)	*45 Attachments to walls and ceilings shall be easily cleanable	1.0	228.173  Physical Facilities.          Floors, walls, and ceilings.         (g) Walls and ceilings, attachments.        (1) Except as specified in paragraph (2) of this subsection, attachments to walls and ceilings such as light fixtures, mechanical room ventilation system components, vent covers, wall mounted fans, decorative items, and other attachments shall be easily cleanable.	cannot have cardboard on shelves, on shelves in the RIC	*47 Handwashing signage	1.0	228.175  Physical Facilities.          Handwashing Sinks.          (e) Handwashing signage. A sign or poster that notifies food employees to wash their hands shall be provided at all handwashing sinks used by food employees and shall be clearly visible to food employees.	provide hand washing sign for restroom for employees																																																																																					Jan 2024	FY2024	9748 BROCKBANK DR #100
DEARL'S GROCERY	Routine	2024-02-23	81	9223	ELAM		RD		9223 ELAM RD	75217	*47 Conditions of Permit-in use of food equipment	1.0	228.248 Compliance           Conditions of retention, responsibilities of the permit holder.                          Upon acceptance of the permit issued by the regulatory authority, the permit holder in order to retain the permit shall:          (11) Notify customers that a copy of the most recent establishment inspection report is available upon request by posting a sign or placard in a location in the food establishment that is conspicuous to customers or by another method acceptable to the regulatory authority.	provide sign about inspection report	*37 Storing the food at least 15 cm (6 inches) above the floor	1.0	228.69  Food.          Preventing contamination from the premises.          (a) Food Storage.          (1) Except as specified in paragraphs (2) and (3) of this subsection, food shall be protected from contamination by storing the food:                     (C)    at least 15 centimeters (6 inches) above the floor.	store food 6 inches off the floor	*45  Premises shall be maintained in good repair	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (a) Repairing.  The physical facilities shall be maintained in good repair.	repair damaged ceiling tiles, floor tiles	*36 Laundering wiping cloths in designated sink	1.0	228.121  Equipment, Utensils, and Linens.          Laundering Methods.          (b) Mechanical washing.          (2) In food establishments in which only wiping cloths are laundered as specified in õ228.107(e)(2) of this title, the wiping cloths may be laundered in a mechanical washer, sink designated only for laundering wiping cloths, or a warewashing or food preparation sink that is cleaned as specified in õ228.111(d) of this title.	wet cloths	*21 A establishment shall have written procedures for employees to follow when responding to vomitin	2.0	228.45  Contamination Events         Clean-up of Vomit and Diarrheal Events. A food establishment shall have written procedures for employees to follow when responding to vomiting or diarrheal events that involve the discharge of vomitus or fecal matter onto surfaces in the food establishment the procedures shall address the specific actions employees must take to minimize the spread of contamination and the exposure of employees, consumers, food, and surfaces to vomitus or fecal matter.	provide written procedures about vomiting/diarrhea event	*34 Outer door: solid,selfclosing,tightfitting	1.0	228.174  Physical Facilities.          Functionality.          (e) Outer openings, protected.          (1) Except as specified in paragraphs (2) - (5) of this subsection, outer openings of a food establishment shall be protected against the entry of insects and rodents by:          (C) solid self-closing, tight-fitting doors.	repair front door	*41 Food storage containers, identified with common name of food.	1.0	228.66  Food.          Preventing food and ingredient contamination.          (b) Food storage containers, identified with common name of food. Except for containers holding food that can be readily and unmistakably recognized such as dry pasta, working containers holding food or food ingredients that are removed from their original packages for use in the food establishment, such as cooking oils, flour, herbs, potato flakes, salt, spices, and sugar shall be identified with the common name of the food.	provide label for sugar container	*39 Utensils, single serve items 6 inches off  - floor	1.0	228.124  Equipment, Utensils, and Linens.          Storage.          (a) Equipment, utensils, linens, and single-service and single-use articles.          (1) Except as specified in paragraph (4) of this subsection, cleaned equipment and utensils, laundered linens, and single-service and single-use articles shall be stored:           (C) at least 15 centimeters (6 inches) above the floor.	store boxes with utensils 6 inches off the floor	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	clean gaskets around cooler doors, clean freezers, shelves, fan cover in wic	*10 Clean Sight and Touch	3.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          Equipment, food-contact surfaces, non-food contact surfaces and utensils.          (1) Equipment food-contact surfaces and utensils shall be clean to sight and touch.	clean ice dispenser on soda machine	*19 Water &  Plumbing in good repair- per code	3.0	228.149  Water, Plumbing, and Waste.          Plumbing, operation and maintenance.          (e) System maintained in good repair.  A plumbing system shall be:          (1) repaired according to the Plumbing Code;  and	leaking pipe under soda machine	*29 Mechanical holding unit, thermometer location	2.0	228.106  Equipment, Utensils, and Linens.          Functionality of equipment.          (l) Temperature measuring devices.          (1) In a mechanically-refrigerated or hot food storage unit, the sensor of a temperature measuring device shall be located to measure the air temperature or a simulated product temperature in the warmest part of a mechanically-refrigerated unit and in the coolest part of a hot food storage unit.	provide thermometers in coolers	*43 Light bulbs, light shields provided	1.0	228.174  Physical Facilities.          Functionality.          (a) Light bulbs, protective shielding.          (1) Except as specified in  paragraph (2) of this subsection, light bulbs shall be shielded, coated, or otherwise shatter-resistant in areas where there is exposed food; clean equipment, utensils, and linens; or unwrapped single-service and single-use articles.	replace non working light bulbs																																																	Feb 2024	FY2024	9223 ELAM RD
BURGER KING	Routine	2024-01-18	97	2403	WHEATLAND	W	RD		2403 W WHEATLAND RD	75237	*07 Food safe, good condition, unadulterated, and honestly presented	3.0	228.61  Food.         Condition safe, unadulterated, and honestly presented.       Food shall be safe, unadulterated, and, as specified in õ228.78(b) of this title, honestly presented.	observed ice machine with debris inside white panel																																																																																																	Jan 2024	FY2024	2403 W WHEATLAND RD
